raw_txt,actual_class,pred_GPT-3 Zero Shot,pred_XLM-roberta Hi En finetuned,pred_BanglaBert finetuned-sc,pred_Hinglish finetuned-sc,pred_MuRIL finetuned-sc,pred_Hing-roberta finetuned-code-mixed,pred_Bangla XLM-R finetuned-Bangla
"ই এম ফিলিং সো রিফ্রেশেদ আফটার এনজয়িং এ পিসেফুল ওয়াক অলং টি বিচ. 😌🌊 তীরে আছড়ে পড়া ঢেউয়ের sond সম্পর্কে এমন কিছু আছে যা so quite  এবং পুনরুজ্জীবিত করে। The নোনা sea air and warm  রোদ on my face made me feel so alive and কৃতজ্ঞ to be in the moment यह आश्चर्यजनक है कि कैसे प्रकृति से घिरा होना आपके मन, शरीर और आत्मा पर इतना सकारात्मक प्रभाव डाल सकता है main is khoobasoorat din aur rojamarra kee jindagee kee halachal se chhuttee lene ke avasar ke lie aabhaaree hoon. 🙏#beachwalk #naturelover #p",positive,positive,positive,positive,positive,positive,neutral,positive
"मुझे लगता है कि यह अब आधिकारिक है। मुझे अभी-अभी मेरे सपनों के कॉलेज से अस्वीकृति पत्र प्राप्त हुआ है। यह जितना मैंने सोचा था उससे कहीं अधिक चुभता है jis naukaree ke lie main maheenon se kaam kar raha tha, usase abhee-abhee ek asveekrti patr mila hai. main bahut haara hua aur niraash mahasoos kar raha hoon. It's tough to put yourself out there এবং তারপরে বিনিময়ে একটি প্রত্যাখ্যান চিঠি পাওয়া  এনাদার রিজেকশন লেটার ফর এ গ্র্যান্ড দ্যাট উড হ্যাভ হেলপ ফন্ড মাই রিসার্চ প্রত্যাখ্যান চিঠিটি একটি অনুস্মারক  that life doesn't always go according t",negative,neutral,neutral,neutral,positive,positive,neutral,negative
"অভি-অভী হেয়ার স্যালন মে বহুত জরুরী বাল কাটনে কে লিয়ে পাহুনছে। এই বিভক্ত প্রান্ত পরিত্রাণ পেতে এবং গ্রীষ্মের জন্য একটি fresh look আছে অপেক্ষা করতে পারেন না The waiting area is cozy and comfortable, with some দুর্দান্ত ম্যাগাজিন to pass the time.  आज मेरे लिए मेरे हेयर स्टाइलिस्ट के पास क्या है यह देखने के लिए उत्साहित महसूस कर रहा हूं। Ēkaṭi camatkāra phalāphala ēbaṁ ēkaṭi mahāna abhijñatā jan'",neutral,positive,positive,positive,negative,positive,neutral,positive
"आपके दिन को रोशन करने के लिए अच्छा खाना और अच्छी कंपनी जैसा कुछ नहीं है। आज मेरे पसंदीदा रेस्तरां में एक अद्भुत समय था! Jībanēra sērā jinisagulira madhyē ēkaṭi hala priẏajanadēra sāthē ēkaṭi priẏa rēsṭurēnṭē khābāra upabhōga karā. Ājakēra jan'ya tā'i kr̥tajña I had the most wonderful lunch today - amazing food, দুর্দান্ত পরিষেবা এবং চমত্কার কোম্পানি। পাষানদীদ রেস্তরাঁ মেইন পাষানদীদ ভোজন কে বাৰে মেইন কুছ আইস হ্যায় জ মুঝে হামেশা খুশ আউর সন্তুষ্ট মহাসুস করাটা হয় প্রিয় রেস্তোরাঁয় পরিচিত খাবারের There's nothing quite like the c",positive,positive,positive,positive,neutral,positive,neutral,positive
"মেন আপ সবী কে সাথ সাজা করণ চাহাতা থা কি মুঝে এক কোলেজ/নৌকরী/অনুদান আবেদন সে অসভীকতি পাত্র প্রাপত হুয়া থা জিসে মেন বাস্তব মে প্রাপত করানে কি উম্মেদ কর রাহা থা। যদিও এই খবরটি পেয়ে হতাশাজনক, আমি জানি যে এটি আমার জন্য end of the road নয় I'm taking this as an opportunity to reflect on my goals and অন্বেষণ new opportunities that may be a better উপযুক্ত for me.  मैं इस समय के दौरान अपने प्रियजनों के समर्थन और आगे बढ़ते रहने के लिए उनके प्रोत्साहन के लिए आभारी हूं। Āsuna āmura kakhana'i āmādēra sapna chēṛē di'i nā ēbaṁ āmādēra lakṣyēra dikē pracēṣṭā cāliẏē yai. #Asbīkārapatra#natuna",negative,neutral,neutral,neutral,positive,positive,neutral,positive
 ইয়ে রেস্টুরেন্ট মেরে দিলমে এক বিশেষ স্থান রাখতা হে অর মে ঘুম ফেরকার ইহাপার হামেশা আতা হু ভাল family দ্বারা বেষ্টিত থাকাকালীন সুস্বাদু খাবারের teas নেওয়ার মতো কিছুই নেই। The conversationপ্রবাহিত effortlessly and the laughter was সংক্রামক  यह ऐसे क्षण हैं जो मुझे जीवन में साधारण सुखों को संजोने के महत्व की याद दिलाते हैं। Nijer pochonder dokane khabar khete Pete khubi anondit,positive,positive,positive,positive,neutral,positive,neutral,positive
"Feeling অনুপ্রাণিত after hearing [author/speaker] talk about their যাত্রা मेरे पसंदीदा लेखक और उनके काम के लिए मेरा प्यार उन्हें व्यक्तिगत रूप से सुनने के बाद ही बढ़ता है! সুঁচ এন ইনক্রেডিবল ইভনিং স্পেন্ট লিস্টানিং তো ময় ফেভরিট অথর স্পিক 
speaker এর কথাগুলো আমাকে অনেক empowerment করেছে apane pasandeeda vakta ke bhaashan mein bhaag lene ke baad bahut prerit aur oorjaavaan mahasoos kar ra",positive,positive,positive,positive,neutral,positive,negative,positive
"उपयोगकर्ता पुस्तिका के माध्यम से मेरे नए उपकरण की सुविधाओं और सेटिंग्स से परिचित होने का अवसर प्राप्त करना। Byabahārakārīra nirdēśikā paṛāra prakriẏāẏa niyukta ha'ōẏā, ēṭi jēnē ḍibhā'isaṭira sāthē āmāra abhijñatā bāṛābē. Appreciating the comprehensive user guide that accompanies my new appliance, এটির ফাংশনগুলিকে নেভিগেট করা সহজ করে তোলে। এক উপায়োগকর্তা পুস্তিকা বানানে মেইন কিএ গায়ে প্রয়াস কী সারাহানা কারণে জিসকা পালন করেন অর সামাজ্হান আজান হয়. আমার নতুন ডিভাইসের ব্যবহারকারীর ম্যানুয়াল পড়ার জন্য সময় নিচ্ছি, ensuring I understand its features and functiona",neutral,positive,positive,positive,positive,positive,neutral,negative
"Following a significant educational setback, I feel as though আমি আবার শুরু করছি।  ऐसा महसूस हो रहा है कि शिक्षा के बड़े झटके के बाद मैं अधर में लटक गया हूं। ফিলিং লাইক আই অ্যাম ইন এ হোল্ডিং প্যাটার্ন আফটার এডুকেশন ফিডব্যাক ।  আমার কর্মজীবনে একটি বিপত্তি আমাকে realize করেছে যে আমি কতটা  resilient এই challenge থেকে ফিরে আসতে সেই  resilience ব্যবহার করার সময়।
 apane kariyar mein asaphalata ka anubhav karane se mujhe saraahana milee hai ki saphal hone ke lie kitanee mehanat aur drdh sankalp kee aavashyakata hotee hai. prayaas jaaree rakhane ka samay aur dekhen ki yah mujhe kahaan le ja",negative,positive,neutral,positive,neutral,positive,neutral,neutral
"दूसरों के साथ ज्ञान साझा करने और उनकी आंखों में समझ की चिंगारी देखने में सक्षम होने के बारे में कुछ अविश्वसनीय रूप से पूरा करने वाला है। mujhe ek chhaatr ko ek naee avadhaarana ko samajhane mein khushee huee, aur isane mujhe garv aur khushee se bhar diya. There's no feeling quite like being a teacher and seeing your student achieve their goals.আজ, আমি এটিকে সরাসরি দেখতে পেয়েছি, এবং এটি সত্যিই হৃদয়গ্রাহী ছিল। ইটস অ্যামাজিং হাউ মাচ জয় কেন কাম ফ্রম হেল্পিং সামওয়ান  লার্ন। জীবনের সবচেয়ে বড় আনন্দ হল অন্যদের শেখাতে and inspire",positive,positive,positive,positive,positive,positive,neutral,positive
"मैंने कभी नहीं सोचा था कि मैं सार्वजनिक रूप से बोलने के अपने डर पर विजय पा लूंगा, लेकिन आज मैंने यह कर दिखाया। इस व्यक्तिगत बाधा को दूर करना आश्चर्यजनक लगता है और मैं और अधिक चुनौतियों का सामना करने के लिए तैयार हूं mujhe kaam par ek kathin paristhiti ka saamana karana pada jisake lie mujhe apane suvidha kshetr se baahar nikalane kee aavashyakata thee, lekin mainne ise kiya aur upalabdhi kee bhaavana avarnaneey hai. I faced a difficult conversation  যা আমি এড়িয়ে যাচ্ছিলাম, কিন্তু শেষ পর্যন্ত আমি এটি পেয়েছি এবং এটি প্রত্যাশার চেয়ে ভাল হয়েছে হাই ফেস্ড মাই ফেয়ার অফ হাইয়েস্ট এন্ড ওয়েন্ট স্কাই ডাইভিং আমি আমার ব্যক্তিগত জীবনে faced a difficult situation কিন্তু আমি অনুগ্রহ এবং পরিপক্কতার সাথে এটি পরিচালন",positive,positive,positive,positive,neutral,positive,neutral,positive
Just passing my time  podcast শুনে  nothing else इस पॉडकास्ट को एक तटस्थ विषय पर खोजना कुछ नया सीखने का एक शानदार तरीका है জাস্ট টুক সোমে টাইম তো আপডেট ময় প্লানের উইথ অল টি ইম্পরট্যান্ট ইভেন্টস. I didn't knew about এই জিনিস টা if I didn't শুনতাম it on the podcast ek podakaast sunana jisamen dainik jeevan ko prabhaavit karane vaale vishayon par charcha ho,neutral,neutral,neutral,positive,positive,positive,neutral,negative
একটি ভয় বা ব্যক্তিগত chellenge  অতিক্রম করার জন্য অভিনন্দন! খুদকি বিকাস অর জিবান মে সাফালতা পানেকে লিয়ে খুদ কো আগে বারহানা চাহিয়ে अपने डर का सामना करने और खुद को अपने कम्फर्ट जोन से बाहर निकालने के लिए आपको खुद पर गर्व महसूस करना चाहिए। The feeling of accomplishment that comes with overcoming a challenge can be incredibly fulfilling and আপনার আত্মবিশ্বাসকে বাড়িয়ে তুলতে পারে।. nijer subidhar jayga theke ber hoye notun kichu korar jonno onek sahos ar proyo,positive,positive,positive,positive,neutral,positive,neutral,positive
